record_type,time,type,peer_address,prefix,next-hop,communities,as-path,filename,title
rib,1530288001.0,R,27.111.228.201,101.124.0.0/16,27.111.228.201,"{'65504:4134', '14061:4000', '2914:3400', '14061:2300', '14061:2301', '2914:1408', '2914:2401', '2914:420', '14061:4001'}",14061 2914 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-29 16:00:00_2018-06-29 17:00:00.csv,bitcanal_hijack_1
rib,1530288001.0,R,27.111.228.43,101.124.0.0/16,27.111.228.43,"{'3491:4000', '3491:4134', '3491:4006'}",3491 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-29 16:00:00_2018-06-29 17:00:00.csv,bitcanal_hijack_1
rib,1530288001.0,R,27.111.229.79,101.124.0.0/16,27.111.229.79,set(),17639 2914 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-29 16:00:00_2018-06-29 17:00:00.csv,bitcanal_hijack_1
rib,1530288001.0,R,27.111.228.159,101.124.0.0/16,27.111.228.159,"{'2914:3400', '24482:1', '24482:11010', '24482:20105', '2914:1408', '2914:2401', '2914:420', '24482:64602', '24482:11013', '24482:20100'}",24482 2914 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-29 16:00:00_2018-06-29 17:00:00.csv,bitcanal_hijack_1
rib,1530288001.0,R,27.111.228.6,101.124.0.0/16,27.111.228.6,{'2914:2000'},18106 2914 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-29 16:00:00_2018-06-29 17:00:00.csv,bitcanal_hijack_1
rib,1530288001.0,R,27.111.228.201,101.124.0.0/18,27.111.228.201,"{'65504:4134', '14061:4000', '2914:3400', '14061:2300', '14061:2301', '2914:1408', '2914:2401', '2914:420', '14061:4001'}",14061 2914 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-29 16:00:00_2018-06-29 17:00:00.csv,bitcanal_hijack_1
rib,1530288001.0,R,27.111.228.43,101.124.0.0/18,27.111.228.43,"{'3491:4000', '3491:4134', '3491:4006'}",3491 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-29 16:00:00_2018-06-29 17:00:00.csv,bitcanal_hijack_1
rib,1530288001.0,R,27.111.229.79,101.124.0.0/18,27.111.229.79,set(),17639 2914 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-29 16:00:00_2018-06-29 17:00:00.csv,bitcanal_hijack_1
rib,1530288001.0,R,27.111.228.159,101.124.0.0/18,27.111.228.159,"{'2914:3400', '24482:1', '24482:11010', '24482:20105', '2914:1408', '2914:2401', '2914:420', '24482:64602', '24482:11013', '24482:20100'}",24482 2914 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-29 16:00:00_2018-06-29 17:00:00.csv,bitcanal_hijack_1
rib,1530288001.0,R,27.111.228.6,101.124.0.0/18,27.111.228.6,{'2914:2000'},18106 2914 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-29 16:00:00_2018-06-29 17:00:00.csv,bitcanal_hijack_1
