time,type,peer_address,prefix,next-hop,communities,as-path
1524953061.0,A,206.126.236.24,131.108.159.0/24,206.126.236.24,"{'11666:2000', '7738:51448', '11666:2007'}",11666 7738 8167 53062 53062 53062 61681
1524953062.0,A,206.126.236.19,131.108.159.0/24,206.126.236.19,"{'3257:4000', '3257:51101', '3257:8160', '3257:50002', '3257:51100', '3257:50120'}",3257 7738 8167 53062 53062 53062 61681
1524953068.0,A,206.126.236.47,131.108.159.0/24,206.126.236.47,"{'7738:51448', '19151:1500', '19151:1000', '19151:65040', '19151:61007'}",19151 7738 8167 53062 53062 53062 61681
1524953068.0,A,206.126.236.120,131.108.159.0/24,206.126.236.120,set(),41095 7738 8167 53062 53062 53062 61681
1524953070.0,A,206.126.236.25,131.108.159.0/24,206.126.236.25,set(),6079 7738 8167 53062 53062 53062 61681
1524953075.0,A,27.111.228.159,131.108.159.0/24,27.111.228.159,"{'0:12989', '24482:13021', '24482:13020', '24482:2', '0:7162', '65535:65535'}",24482 262589 53062 53062 53062 53062 61681
1524953081.0,A,206.126.236.76,131.108.159.0/24,206.126.236.76,set(),5769 6453 7738 8167 53062 53062 53062 61681
1524953087.0,A,206.126.236.172,131.108.159.0/24,206.126.237.231,"{'0:7162', '0:12989', '0:16276'}",11039 262589 53062 53062 53062 53062 61681
1524953087.0,A,27.111.228.159,131.108.159.0/24,27.111.228.159,"{'0:12989', '24482:13021', '24482:13020', '24482:2', '24482:65302', '0:7162', '0:16276'}",24482 262589 53062 53062 53062 53062 61681
1524954459.0,A,206.126.236.24,131.108.159.0/24,206.126.236.24,"{'11666:2000', '7738:51448', '11666:2012', '286:4991', '286:4502', '24115:286', '286:3001', '286:286'}",11666 286 7738 8167 53062 53062 53062 61681
1524954459.0,A,206.126.236.19,131.108.159.0/24,206.126.236.19,"{'3257:4000', '3257:8144', '3257:51103', '3257:50002', '3257:51100', '3257:50120'}",3257 7738 8167 53062 53062 53062 61681
1524954460.0,A,206.126.236.19,131.108.159.0/24,206.126.236.19,"{'3257:4000', '3257:8144', '3257:51103', '3257:50002', '3257:51100', '3257:50120'}",3257 7738 8167 53062 53062 53062 61681 61681
1524954460.0,A,206.126.236.24,131.108.159.0/24,206.126.236.24,"{'11666:2000', '7738:51448', '11666:2012', '286:4991', '24115:286', '286:3001', '286:4510', '286:286'}",11666 286 7738 8167 53062 53062 53062 61681
1524954460.0,A,206.126.236.19,131.108.159.0/24,206.126.236.19,"{'3257:4000', '3257:51101', '3257:8160', '3257:50002', '3257:51100', '3257:50120'}",3257 7738 8167 53062 53062 53062 61681 61681
1524954460.0,A,206.126.236.24,131.108.159.0/24,206.126.236.24,"{'11666:2000', '7738:51448', '11666:2007'}",11666 7738 8167 53062 53062 53062 61681 61681
1524954463.0,A,206.126.236.76,131.108.159.0/24,206.126.236.76,set(),5769 1299 7738 8167 53062 53062 53062 61681
1524954481.0,A,206.126.236.120,131.108.159.0/24,206.126.236.120,set(),41095 7738 8167 53062 53062 53062 61681 61681
1524954483.0,A,206.126.236.47,131.108.159.0/24,206.126.236.47,"{'7738:51448', '19151:1500', '19151:1000', '19151:65040', '19151:61007'}",19151 7738 8167 53062 53062 53062 61681 61681
1524954485.0,A,206.126.236.25,131.108.159.0/24,206.126.236.25,set(),6079 7738 8167 53062 53062 53062 61681 61681
1524954493.0,A,206.126.236.76,131.108.159.0/24,206.126.236.76,set(),5769 6453 7738 8167 53062 53062 53062 61681 61681
1524954500.0,A,27.111.228.159,131.108.159.0/24,27.111.228.159,"{'0:12989', '24482:13021', '24482:13020', '24482:2', '0:7162', '65535:65535'}",24482 262589 53062 53062 53062 53062 61681
1524954500.0,A,206.126.236.172,131.108.159.0/24,206.126.237.231,"{'0:7162', '0:12989', '0:16276'}",11039 262589 53062 53062 53062 53062 61681 61681
1524954531.0,A,27.111.228.159,131.108.159.0/24,27.111.228.159,"{'0:12989', '24482:13021', '24482:13020', '24482:2', '24482:65302', '0:7162', '0:16276'}",24482 262589 53062 53062 53062 53062 61681 61681
1524954746.0,A,206.126.236.24,131.108.159.0/24,206.126.236.24,"{'11666:2000', '7738:51448', '11666:2012', '286:4991', '286:4502', '24115:286', '286:3001', '286:286'}",11666 286 7738 8167 53062 53062 53062 61681
1524954746.0,A,206.126.236.24,131.108.159.0/24,206.126.236.24,"{'11666:2000', '7738:51448', '11666:2007'}",11666 7738 8167 53062 53062 53062 61681
1524954746.0,A,206.126.236.19,131.108.159.0/24,206.126.236.19,"{'3257:4000', '3257:8144', '3257:51103', '3257:50002', '3257:51100', '3257:50120'}",3257 7738 8167 53062 53062 53062 61681
1524954746.0,A,206.126.236.19,131.108.159.0/24,206.126.236.19,"{'3257:4000', '3257:51101', '3257:8160', '3257:50002', '3257:51100', '3257:50120'}",3257 7738 8167 53062 53062 53062 61681
1524954751.0,A,27.111.228.159,131.108.159.0/24,27.111.228.159,"{'0:12989', '24482:13021', '24482:13020', '24482:2', '0:7162', '65535:65535'}",24482 262589 53062 53062 53062 53062 61681
1524954755.0,A,206.126.236.25,131.108.159.0/24,206.126.236.25,set(),6079 7738 8167 53062 53062 53062 61681
1524954756.0,A,27.111.228.159,131.108.159.0/24,27.111.228.159,"{'0:12989', '24482:13021', '24482:13020', '24482:2', '24482:65302', '0:7162', '0:16276'}",24482 262589 53062 53062 53062 53062 61681
1524954756.0,A,206.126.236.172,131.108.159.0/24,206.126.237.231,"{'0:7162', '0:12989', '0:16276'}",11039 262589 53062 53062 53062 53062 61681
1524954759.0,A,206.126.236.47,131.108.159.0/24,206.126.236.47,"{'7738:51448', '19151:1500', '19151:1000', '19151:65040', '19151:61007'}",19151 7738 8167 53062 53062 53062 61681
1524954759.0,A,206.126.236.120,131.108.159.0/24,206.126.236.120,set(),41095 7738 8167 53062 53062 53062 61681
1524954764.0,A,206.126.236.76,131.108.159.0/24,206.126.236.76,set(),5769 6453 7738 8167 53062 53062 53062 61681
1524954776.0,A,206.126.236.24,131.108.159.0/24,206.126.236.24,"{'11666:2000', '7738:51448', '11666:2012', '286:4991', '286:4502', '24115:286', '286:3001', '286:286'}",11666 286 7738 8167 53062 53062 53062 61681
1524954776.0,A,206.126.236.24,131.108.159.0/24,206.126.236.24,"{'11666:2000', '7738:51448', '11666:2007'}",11666 7738 8167 53062 53062 53062 61681 61681
1524954777.0,A,206.126.236.19,131.108.159.0/24,206.126.236.19,"{'3257:4000', '3257:51101', '3257:8160', '3257:50002', '3257:51100', '3257:50120'}",3257 7738 8167 53062 53062 53062 61681 61681
1524954786.0,A,206.126.236.25,131.108.159.0/24,206.126.236.25,set(),6079 7738 8167 53062 53062 53062 61681 61681
1524954789.0,A,206.126.236.47,131.108.159.0/24,206.126.236.47,"{'7738:51448', '19151:1500', '19151:1000', '19151:65040', '19151:61007'}",19151 7738 8167 53062 53062 53062 61681 61681
1524954790.0,A,206.126.236.120,131.108.159.0/24,206.126.236.120,set(),41095 7738 8167 53062 53062 53062 61681 61681
1524954794.0,A,206.126.236.76,131.108.159.0/24,206.126.236.76,set(),5769 6453 7738 8167 53062 53062 53062 61681 61681
1524954799.0,A,206.126.236.172,131.108.159.0/24,206.126.237.231,"{'0:7162', '0:12989', '0:16276'}",11039 262589 53062 53062 53062 53062 61681 61681
1524954799.0,A,27.111.228.159,131.108.159.0/24,27.111.228.159,"{'24482:1', '24482:64601', '24482:13011', '6453:1100', '6453:1000', '6453:50', '24482:13010', '24482:20300', '6453:1111'}",24482 6453 7738 8167 53062 53062 53062 61681 61681
1524954799.0,W,27.111.228.159,131.108.159.0/24,None,None,None
1524954799.0,A,27.111.228.159,131.108.159.0/24,27.111.228.159,"{'0:12989', '24482:13021', '24482:13020', '24482:2', '0:7162', '65535:65535'}",24482 262589 53062 53062 53062 53062 61681
1524954812.0,A,27.111.228.159,131.108.159.0/24,27.111.228.159,"{'0:12989', '24482:13021', '24482:13020', '24482:2', '24482:65302', '0:7162', '0:16276'}",24482 262589 53062 53062 53062 53062 61681 61681
