record_type,time,type,peer_address,prefix,next-hop,communities,as-path
update,1420198849.0,A,206.126.236.19,102.120.0.0/16,206.126.236.19,"{'3257:30270', '3257:50001', '3257:53400', '3257:53401', '3257:8071'}",3257 174 197043 201509
update,1420198849.0,A,206.126.236.24,102.120.0.0/16,206.126.236.24,"{'3257:30270', '3257:50001', '3257:53400', '11666:1000', '3257:53401', '11666:1005', '3257:8071'}",11666 3257 174 197043 201509
update,1420198851.0,A,202.79.197.159,102.120.0.0/16,202.79.197.159,"{'5580:23123', '24482:5', '24482:12010', '24482:64692', '24482:12011'}",24482 5580 174 197043 201509
update,1420198851.0,A,202.79.197.201,102.120.0.0/16,202.79.197.201,"{'1299:4000', '1299:20000', '1299:20600'}",133165 1299 174 197043 201509
update,1420198851.0,A,206.126.236.37,102.120.0.0/16,206.126.236.37,set(),6939 1299 174 197043 201509
update,1420198851.0,A,206.126.236.19,102.120.0.0/16,206.126.236.19,"{'3257:8103', '3257:50001', '3257:30154', '3257:54401', '3257:54400'}",3257 174 197043 201509
update,1420198852.0,A,206.126.236.24,102.120.0.0/16,206.126.236.24,"{'3257:8103', '3257:50001', '3257:30154', '11666:1000', '11666:1005', '3257:54401', '3257:54400'}",11666 3257 174 197043 201509
update,1420198853.0,A,206.126.236.172,102.120.0.0/16,206.126.236.172,{'6461:5997'},11039 6461 174 197043 201509
update,1420198854.0,A,206.126.236.12,102.120.0.0/16,206.126.236.12,"{'2914:2000', '2914:420', '2914:1009', '2914:3000'}",2914 174 197043 201509
update,1420198854.0,A,206.126.236.172,102.120.0.0/16,206.126.236.172,"{'174:21101', '174:22005'}",11039 174 197043 201509
update,1420198855.0,A,206.126.236.47,102.120.0.0/16,206.126.236.47,"{'19151:61006', '19151:1000', '19151:1500', '19151:65050'}",19151 3356 174 197043 201509
update,1420198855.0,A,206.126.236.12,102.120.0.0/16,206.126.236.12,"{'2914:2000', '2914:420', '2914:1009', '2914:3000'}",2914 174 197043 201509
update,1420198856.0,A,206.126.236.12,102.120.0.0/16,206.126.236.12,"{'2914:2000', '2914:420', '2914:1001', '2914:3000'}",2914 174 197043 201509
update,1420198856.0,A,202.79.197.201,102.120.0.0/16,202.79.197.201,"{'1299:25000', '1299:4000', '1299:25600'}",133165 1299 174 197043 201509
update,1420198857.0,A,206.126.236.19,102.120.0.0/16,206.126.236.19,"{'3257:51100', '3257:8097', '3257:30296', '3257:51103', '3257:50002'}",3257 174 197043 201509
update,1420198858.0,A,206.126.236.24,102.120.0.0/16,206.126.236.24,"{'3257:51100', '3257:8097', '3257:30296', '11666:1000', '3257:51103', '11666:1005', '3257:50002'}",11666 3257 174 197043 201509
