record_type,time,type,peer_address,prefix,next-hop,communities,as-path
update,1411873519.0,A,202.79.197.159,186.96.128.0/18,202.79.197.159,"{'24482:20', '8709:0', '24482:6777', '24482:3'}",24482 60937 12389 16509 6461 1273
update,1411873590.0,A,202.79.197.159,186.96.128.0/18,202.79.197.159,"{'24482:20', '8709:0', '24482:6777', '24482:3'}",24482 60937 12389 16509 6461 1273
update,1411876253.0,A,202.79.197.159,186.96.128.0/18,202.79.197.159,"{'24482:20', '8709:0', '24482:6777', '24482:3'}",24482 60937 12389 16509 6461 1273
update,1411876375.0,A,202.79.197.159,186.96.128.0/18,202.79.197.159,"{'24482:20', '8709:0', '24482:6777', '24482:3'}",24482 60937 12389 16509 6461 1273
