record_type,time,type,peer_address,prefix,next-hop,communities,as-path
update,1411806918.0,A,202.79.197.159,200.239.0.0/18,202.79.197.159,"{'24482:5', '24482:10', '24482:13', '24482:6939'}",24482 59211 6939 3491 11888
update,1411806918.0,A,202.79.197.159,200.239.0.0/18,202.79.197.159,"{'2914:1405', '2914:3400', '65504:3491', '24482:5', '24482:10', '2914:2406', '2914:420', '24482:2914', '24482:11', '24482:100', '24482:101'}",24482 2914 3491 11888
update,1411806942.0,A,206.126.236.120,200.239.0.0/18,206.126.236.120,set(),41095 3356 3549 3491 11888
