record_type,time,type,peer_address,prefix,next-hop,communities,as-path
update,1422046831.0,A,206.126.236.19,61.80.165.0/24,206.126.236.19,"{'3257:30351', '3257:50002', '3257:51204', '3257:8140', '3257:51200'}",3257 4766
update,1422046831.0,W,206.126.236.19,61.80.165.0/24,None,None,None
update,1422046832.0,A,202.79.197.201,61.80.165.0/24,202.79.197.201,"{'3491:4000', '3491:4008', '3491:4766'}",133165 3491 4766
update,1422046832.0,A,202.79.197.159,61.80.165.0/24,202.79.197.159,"{'24482:21300', '24482:64602', '2914:2000', '2914:1008', '2914:3000', '24482:11010', '24482:5', '2914:420', '65504:1239', '24482:11011'}",24482 2914 1239 4766
update,1422046832.0,A,206.126.236.37,61.80.165.0/24,206.126.236.37,set(),6939 1299 4766
update,1422046832.0,A,206.126.236.172,61.80.165.0/24,206.126.236.172,{'6461:5997'},11039 6461 6939 4766
update,1422046832.0,A,206.126.236.172,61.80.165.0/24,206.126.236.172,set(),11039 4901 11164 6939 4766
update,1422046833.0,A,206.126.236.24,61.80.165.0/24,206.126.236.24,"{'11666:2000', '11666:2008'}",11666 6939 4766
update,1422046833.0,W,206.126.236.24,61.80.165.0/24,None,None,None
update,1422046833.0,A,202.79.197.159,61.80.165.0/24,202.79.197.159,"{'24482:21200', '24482:64601', '24482:5', '24482:12011', '6453:86', '24482:12010', '6453:2000', '6453:2101', '6453:2100'}",24482 6453 1299 4766
update,1422046833.0,W,202.79.197.159,61.80.165.0/24,None,None,None
update,1422046833.0,A,202.79.197.159,61.80.165.0/24,202.79.197.159,"{'24482:21300', '24482:64602', '2914:2000', '2914:1008', '2914:3000', '24482:11010', '24482:5', '2914:420', '65504:1239', '24482:11011'}",24482 2914 1239 4766
update,1422046833.0,A,202.79.197.159,61.80.165.0/24,202.79.197.159,"{'6453:1000', '24482:21300', '24482:13010', '6453:1300', '24482:64601', '24482:5', '24482:13011', '6453:1303', '6453:86'}",24482 6453 1299 4766
update,1422046833.0,A,202.79.197.159,61.80.165.0/24,202.79.197.159,"{'24482:21200', '24482:64601', '24482:5', '24482:12011', '6453:86', '24482:12010', '6453:2000', '6453:2101', '6453:2100'}",24482 6453 1299 4766
update,1422046834.0,A,206.126.236.172,61.80.165.0/24,206.126.236.172,{'6461:5997'},11039 6461 174 4766
