record_type,time,type,peer_address,prefix,next-hop,communities,as-path
update,1410333779.0,A,206.126.236.61,128.19.65.0/24,206.126.236.61,"{'3257:50002', '4436:999', '3257:30146', '4436:11611', '3257:51100', '3257:51102', '3257:8065'}",4436 3257 209 721 27064
update,1410333830.0,A,206.126.236.61,128.19.65.0/24,206.126.236.61,"{'4436:31611', '209:209', '4436:999', '209:14020', '65534:65000'}",4436 209 721 27064
update,1410333946.0,A,206.126.236.61,128.19.65.0/24,206.126.236.61,"{'3257:50002', '4436:999', '3257:30146', '4436:11611', '3257:51100', '3257:51102', '3257:8065'}",4436 3257 209 721 27064
update,1410334048.0,A,206.126.236.60,128.19.65.0/24,206.126.236.60,"{'3257:50002', '4436:999', '3257:30146', '4436:11611', '3257:51100', '3257:51102', '3257:8065'}",4436 3257 209 721 27064
