time,type,peer_address,prefix,next-hop,communities,as-path
1463854093.0,A,206.126.236.120,191.86.128.0/19,206.126.236.120,set(),41095 3356 6762 26615
1463854111.0,A,206.126.236.37,191.86.128.0/19,206.126.236.37,set(),6939 26615
1463854114.0,A,206.126.236.25,191.86.128.0/19,206.126.236.25,set(),6079 3356 6762 26615
1463854129.0,A,206.126.236.76,191.86.128.0/19,206.126.236.76,set(),5769 6453 6762 26615
1463854229.0,A,206.126.236.26,191.86.128.0/19,206.126.236.26,set(),16559 6939 26615
1463854234.0,A,206.126.236.172,191.86.128.0/19,206.126.236.172,{'6461:5997'},11039 6461 6762 26615
1463854241.0,A,206.126.236.117,191.86.128.0/19,206.126.236.117,"{'6830:17413', '6830:17000', '6762:1', '6830:33121', '6762:92', '6762:15500'}",6830 6762 26615
1463854243.0,A,206.126.236.24,191.86.128.0/19,206.126.236.24,"{'3257:30402', '3257:51301', '3257:50002', '11666:1005', '3257:51300', '3257:8159', '11666:1000'}",11666 3257 6762 26615
1463854245.0,A,206.126.236.104,191.86.128.0/19,206.126.236.104,"{'6830:17413', '6830:17000', '6762:1', '6830:33121', '6762:92', '6762:15500'}",6830 6762 26615
1463854249.0,A,206.126.236.19,191.86.128.0/19,206.126.236.19,"{'3257:50002', '3257:8093', '3257:30027', '3257:51100', '3257:51102'}",3257 6762 26615
1463854266.0,A,206.126.236.10,191.86.128.0/19,206.126.236.10,"{'4589:2', '4589:546', '2914:420', '2914:3000', '2914:2000', '4589:10110', '2914:1001', '4589:420'}",4589 2914 6762 26615
1463854289.0,A,206.126.236.12,191.86.128.0/19,206.126.236.12,"{'2914:2000', '2914:420', '2914:3000', '2914:1001'}",2914 6762 26615
1463854293.0,A,206.126.236.47,191.86.128.0/19,206.126.236.47,"{'174:22013', '19151:61003', '19151:65050', '174:21000', '19151:1000'}",19151 174 6762 26615
