record_type,time,type,peer_address,prefix,next-hop,communities,as-path
rib,1456128001.0,R,27.111.228.201,161.123.128.0/17,27.111.228.201,"{'4637:60952', '4637:32502', '4637:32026', '4637:32312'}",133165 4637 3320 12586
rib,1456128001.0,R,27.111.228.169,161.123.128.0/17,27.111.228.169,set(),38880 31025 12586
rib,1456128001.0,R,27.111.228.159,161.123.128.0/17,27.111.228.159,"{'24482:2', '24482:65203', '31025:2000', '24482:12011', '12586:102', '24482:12010'}",24482 31025 12586
rib,1456128001.0,R,202.79.197.159,161.123.128.0/17,202.79.197.159,"{'24482:2', '24482:65203', '31025:2000', '24482:12011', '12586:102', '24482:12010'}",24482 31025 12586
rib,1456128001.0,R,202.79.197.201,161.123.128.0/17,202.79.197.201,"{'4637:60952', '4637:32502', '4637:32026', '4637:32312'}",133165 4637 3320 12586
rib,1456128001.0,R,27.111.228.201,161.123.129.0/24,27.111.228.201,"{'3491:100', '3491:115', '3491:60133'}",133165 3491 46261
rib,1456128001.0,R,27.111.228.169,161.123.129.0/24,27.111.228.169,set(),38880 3491 46261
rib,1456128001.0,R,27.111.228.159,161.123.129.0/24,27.111.228.159,"{'2914:1405', '2914:3400', '24482:1', '24482:64602', '24482:11010', '2914:2406', '2914:420', '24482:21100', '24482:21101', '24482:11011', '24482:11013'}",24482 2914 3491 46261
rib,1456128001.0,R,202.79.197.159,161.123.129.0/24,202.79.197.159,"{'2914:1405', '2914:3400', '24482:1', '24482:64602', '24482:11010', '2914:2406', '2914:420', '24482:21100', '24482:21101', '24482:11011', '24482:11013'}",24482 2914 3491 46261
rib,1456128001.0,R,202.79.197.201,161.123.129.0/24,202.79.197.201,"{'3491:100', '3491:115', '3491:60133'}",133165 3491 46261
rib,1456128001.0,R,27.111.228.201,161.123.131.0/24,27.111.228.201,"{'2914:410', '2914:1003', '2914:3000', '2914:2000'}",133165 2914 23352 61440
rib,1456128001.0,R,27.111.228.169,161.123.131.0/24,27.111.228.169,set(),38880 3491 2914 23352 61440
rib,1456128001.0,R,27.111.228.159,161.123.131.0/24,27.111.228.159,"{'24482:1', '24482:64601', '24482:11010', '6453:3000', '6453:3402', '6453:3400', '24482:21100', '24482:21101', '24482:91', '24482:11013', '6453:86'}",24482 6453 2914 23352 61440
rib,1456128001.0,R,202.79.197.159,161.123.131.0/24,202.79.197.159,"{'24482:1', '24482:64601', '24482:11010', '6453:3000', '6453:3402', '6453:3400', '24482:21100', '24482:21101', '24482:91', '24482:11013', '6453:86'}",24482 6453 2914 23352 61440
rib,1456128001.0,R,202.79.197.201,161.123.131.0/24,202.79.197.201,"{'2914:410', '2914:1003', '2914:3000', '2914:2000'}",133165 2914 23352 61440
rib,1456128001.0,R,27.111.228.201,161.123.133.0/24,27.111.228.201,"{'3491:100', '3491:115', '3491:60133'}",133165 3491 46261
rib,1456128001.0,R,27.111.228.169,161.123.133.0/24,27.111.228.169,set(),38880 3491 46261
rib,1456128001.0,R,27.111.228.159,161.123.133.0/24,27.111.228.159,"{'2914:1405', '2914:3400', '24482:1', '24482:64602', '24482:11010', '2914:2406', '2914:420', '24482:21100', '24482:21101', '24482:11011', '24482:11013'}",24482 2914 3491 46261
rib,1456128001.0,R,202.79.197.159,161.123.133.0/24,202.79.197.159,"{'2914:1405', '2914:3400', '24482:1', '24482:64602', '24482:11010', '2914:2406', '2914:420', '24482:21100', '24482:21101', '24482:11011', '24482:11013'}",24482 2914 3491 46261
rib,1456128001.0,R,202.79.197.201,161.123.133.0/24,202.79.197.201,"{'3491:100', '3491:115', '3491:60133'}",133165 3491 46261
rib,1456128001.0,R,27.111.228.201,161.123.135.0/24,27.111.228.201,"{'3491:100', '3491:115', '3491:60133'}",133165 3491 46261
rib,1456128001.0,R,27.111.228.169,161.123.135.0/24,27.111.228.169,set(),38880 3491 46261
rib,1456128001.0,R,27.111.228.159,161.123.135.0/24,27.111.228.159,"{'2914:1405', '2914:3400', '24482:1', '24482:64602', '24482:11010', '2914:2406', '2914:420', '24482:21100', '24482:21101', '24482:11011', '24482:11013'}",24482 2914 3491 46261
rib,1456128001.0,R,202.79.197.159,161.123.135.0/24,202.79.197.159,"{'2914:1405', '2914:3400', '24482:1', '24482:64602', '24482:11010', '2914:2406', '2914:420', '24482:21100', '24482:21101', '24482:11011', '24482:11013'}",24482 2914 3491 46261
rib,1456128001.0,R,202.79.197.201,161.123.135.0/24,202.79.197.201,"{'3491:100', '3491:115', '3491:60133'}",133165 3491 46261
rib,1456128001.0,R,27.111.228.201,161.123.137.0/24,27.111.228.201,"{'2914:410', '2914:1003', '2914:3000', '2914:2000'}",133165 2914 23352 61440
rib,1456128001.0,R,27.111.228.169,161.123.137.0/24,27.111.228.169,set(),38880 3491 2914 23352 61440
rib,1456128001.0,R,27.111.228.159,161.123.137.0/24,27.111.228.159,"{'24482:1', '24482:64601', '24482:11010', '6453:3000', '6453:3402', '6453:3400', '24482:21100', '24482:21101', '24482:91', '24482:11013', '6453:86'}",24482 6453 2914 23352 61440
