record_type,time,type,peer_address,prefix,next-hop,communities,as-path
update,1411772789.0,A,202.79.197.159,154.70.0.0/18,202.79.197.159,"{'24482:5', '24482:10', '24482:13', '24482:6939'}",24482 59211 6939 15399
update,1411773135.0,A,202.79.197.159,154.70.0.0/18,202.79.197.159,"{'24482:8714', '24482:20', '15399:30101', '15399:114', '24482:3'}",24482 15399
update,1411773824.0,A,202.79.197.159,154.70.0.0/18,202.79.197.159,"{'24482:8714', '24482:20', '15399:30101', '15399:114', '24482:3'}",24482 15399
